"","c.0..penalty.","lambda.low.est","lambda.high.est","gamma.low.est","gamma.high.est","P.11.est","P.12.est","P.21.est","P.22.est","MSPE.est","accept"
"Truth",0,0.05,0.6,0.005,0.005,0.995,0.005,0.005,0.995,0,50
"Model 1",1e-09,0.0516086994350941,0.658135342062336,0.00471492014658171,0.00480933079166253,0.995384420987956,0.00461557901204439,0.00470632116922937,0.995293678830771,0.327320560819781,12
"Model 2",1.1112e-05,0.0514081714621387,0.660616004295389,0.00618684530709511,0.00550527074065135,0.993986600508898,0.00601339949110197,0.00536986114585943,0.994630138854141,0.327931720361389,26
"Model 3",2.2223e-05,0.0506417361147553,0.665324673720845,0.00601740149067367,0.00597421765388554,0.994145837416914,0.00585416258308634,0.00581387627189606,0.994186123728104,0.327605525382842,34
"Model 4",3.3334e-05,0.0500175316546739,0.665796964657181,0.00603923697276148,0.00602446138340864,0.994126534173044,0.00587346582695576,0.0058623772283985,0.994137622771601,0.32734242038469,27
"Model 5",4.4445e-05,0.0508122764594061,0.656286175448681,0.00602180628041588,0.00631704947158394,0.994141196865025,0.00585880313497501,0.00613717839682979,0.99386282160317,0.327885108533022,31
"Model 6",5.5556e-05,0.0521833631330639,0.664511703913643,0.0061844311266735,0.00596938051471187,0.993987980387256,0.00601201961274384,0.00581018851003264,0.994189811489967,0.326959604752185,36
"Model 7",6.6667e-05,0.0509448656041419,0.658045813189228,0.00533943871140092,0.00589125178933307,0.994787868821783,0.00521213117821707,0.00573373032532219,0.994266269674678,0.327055169436402,34
"Model 8",7.7778e-05,0.051508980237973,0.662908451589832,0.00641268145479314,0.00668327210959024,0.993776066090646,0.00622393390935392,0.00647741195171842,0.993522588048282,0.327000356837322,33
"Model 9",8.8889e-05,0.050853624293615,0.656857298561543,0.00672114397940008,0.00606360961651908,0.993485093710805,0.00651490628919519,0.0058976373729512,0.994102362627049,0.327728865221081,38
"Model 10",1e-04,0.0525285594508991,0.665920767731909,0.00550287874958453,0.0062218663240642,0.994632151176413,0.00536784882358671,0.00604628444322176,0.993953715556778,0.326897053296837,27
