"","c.0..penalty.","lambda.low.est","lambda.high.est","gamma.low.est","gamma.high.est","P.11.est","P.12.est","P.21.est","P.22.est","MSPE.est","accept"
"Truth",0,0.01,0.08,0.005,0.005,0.995,0.005,0.005,0.995,0,1000
"Model 1",1e-05,0.431095137275473,2.50768145492787,0.0109435070499699,0.010608261487958,0.992185253484312,0.00781474651568851,0.00765127568621409,0.992348724313786,1.63735065677685,363
"Model 2",0.11112,0.365859324200138,2.41724057901706,0.0306993489711438,0.0308375687916236,0.988354960159411,0.0116450398405886,0.011621149536238,0.988378850463762,1.58866644024074,215
"Model 3",0.22223,0.409632706543525,2.5133141290508,0.0323062493068851,0.0315887727966904,0.988319386144357,0.0116806138556428,0.0117539264470442,0.988246073552956,1.58092921962079,192
"Model 4",0.33334,0.390514104840436,2.45381270166578,0.0323596098798844,0.0308752725725255,0.988221898156532,0.0117781018434681,0.0116960951823505,0.988303904817649,1.59816901085947,198
"Model 5",0.44445,0.398970600057468,2.49140500388583,0.031349146715217,0.0330064177279301,0.988253444372328,0.0117465556276715,0.0118539348721528,0.988146065127847,1.57863481745768,209
"Model 6",0.55556,0.4571762297462,2.56976888456997,0.0321423617972796,0.0318671001966392,0.98815989600597,0.0118401039940298,0.0115302046968565,0.988469795303143,1.61762269440471,200
"Model 7",0.66667,0.390204750312385,2.45885328778489,0.0315182811682844,0.0324336395413621,0.988291998619518,0.0117080013804824,0.0115643384499827,0.988435661550017,1.5902708952935,191
"Model 8",0.77778,0.382038036285635,2.43646235279721,0.0327937402883837,0.0314778745126595,0.988203186763026,0.0117968132369737,0.0116090681532082,0.988390931846792,1.59475909096576,205
"Model 9",0.88889,0.38958278997662,2.44008743893013,0.0313176500930174,0.033757463148121,0.98835239310206,0.01164760689794,0.0115626672230874,0.988437332776913,1.60524225329604,226
"Model 10",1,0.374349393247145,2.42340197490785,0.0303813767010623,0.0343320434439575,0.988307298044444,0.011692701955556,0.0116308093182206,0.988369190681779,1.59642111961656,197
