"","c.0..penalty.","lambda.low.est","lambda.high.est","gamma.low.est","gamma.high.est","P.11.est","P.12.est","P.21.est","P.22.est","MSPE.est","accept"
"Truth",0,0.01,0.08,0.005,0.005,0.995,0.005,0.005,0.995,0,1000
"Model 1",1e-05,0.000973329283408241,0.0896906991407027,0.138921316525972,0.136235096606052,0.870778942433925,0.129221057566075,0.126867405267079,0.873132594732921,0.0459342565163741,33
"Model 2",1.66667555555556,0.000830341975976416,0.0574209939938319,1.48242987271178,0.173113760424458,0.259987240104378,0.740012759895622,0.158299118154537,0.841700881845463,0.0476508389717152,35
"Model 3",3.33334111111111,0.000719252566083593,0.0606238086561647,1.36888911546303,0.246087704575787,0.273698532846674,0.726301467153326,0.217250616057413,0.782749383942587,0.0476899705647092,32
"Model 4",5.00000666666667,0.0107562797095005,0.164317727972586,0.233497734427011,1.37696740046,0.792770705836936,0.207229294163064,0.723751474071117,0.276248525928883,0.0475737802557789,34
"Model 5",6.66667222222222,0.00060575380536928,0.0686091205223673,1.04002305336763,0.361837240847231,0.369782870263174,0.630217129736826,0.300899556012262,0.699100443987738,0.0476674794189348,37
"Model 6",8.33333777777778,0.000692847778197262,0.0718210981820766,0.981264625206573,0.416219765267577,0.39466490760101,0.60533509239899,0.335569430652013,0.664430569347987,0.0477060683167641,32
"Model 7",10.0000033333333,0.00965750707209549,0.172257322518268,0.225195640122978,1.43054974752481,0.799518280990738,0.200481719009262,0.72928944134849,0.27071055865151,0.0476674691285682,37
"Model 8",11.6666688888889,0.000907461481181263,0.0559285173270321,1.66027761255471,0.149091268685715,0.227963652590393,0.772036347409607,0.138042000384709,0.861957999615291,0.0476618453116666,36
"Model 9",13.3333344444444,0.00077335912054161,0.0676429564474436,1.10865553082006,0.359524114724699,0.345536667990204,0.654463332009796,0.29966538875799,0.70033461124201,0.0477099200989165,27
"Model 10",15,0.000692275188186757,0.0570549777047606,1.61793646829205,0.181228609499972,0.223414139996982,0.776585860003018,0.165291189463799,0.834708810536201,0.0476908380941161,28
