"","c.0..penalty.","lambda.low.est","lambda.high.est","gamma.low.est","gamma.high.est","P.11.est","P.12.est","P.21.est","P.22.est","MSPE.est","accept"
"Truth",0,0.01,0.08,0.005,0.005,0.995,0.005,0.005,0.995,0,2000
"Model 1",1e-05,0.377712317522157,2.05036032632563,0.0102548870698402,0.00969971131777771,0.992510664040816,0.00748933595918379,0.00719698823291399,0.992803011767086,1.60020301147707,636
"Model 2",2.22223111111111,0.383198762687656,2.0480853452583,0.0320156464795758,0.033527039068555,0.988145602653323,0.0118543973466767,0.0116655953636931,0.988334404636307,1.60740529408206,481
"Model 3",4.44445222222222,0.368065768725204,2.03699880991535,0.0325151367335902,0.0336533514765133,0.988055741470238,0.0119442585297619,0.011758499096227,0.988241500903773,1.59866508161854,361
"Model 4",6.66667333333333,0.383677555003887,2.04624767150372,0.0324592745984956,0.032635325445531,0.988145275930965,0.0118547240690346,0.0118190266734458,0.988180973326554,1.60775399024602,431
"Model 5",8.88889444444444,0.373599123422591,2.04619627544715,0.0329155548604572,0.0328505773114446,0.988077497497967,0.0119225025020327,0.0117855073428332,0.988214492657167,1.59622460494408,497
"Model 6",11.1111155555556,0.394968587726008,2.06697957409487,0.0334198842822821,0.0324624181922806,0.987953336365936,0.012046663634064,0.0118269161002762,0.988173083899724,1.60231027446491,427
"Model 7",13.3333366666667,0.401190999087154,2.07070853473804,0.0329079116189979,0.0329342591654132,0.988094238050203,0.0119057619497972,0.0118701494331338,0.988129850566866,1.60081203381767,389
"Model 8",15.5555577777778,0.386642323860762,2.03954392942966,0.0335041165220406,0.0333053705953618,0.988135303856094,0.0118646961439056,0.0118355271478186,0.988164472852181,1.61702094390301,425
"Model 9",17.7777788888889,0.38221391332053,2.05821596642615,0.0335724141938797,0.0316756698180205,0.98806848985003,0.0119315101499698,0.0118338657808752,0.988166134219125,1.59156140355636,449
"Model 10",20,0.371447807612354,2.03646872225308,0.0326966472390475,0.0338973242335155,0.988081613962647,0.0119183860373527,0.0119103946115781,0.988089605388422,1.60482527475255,547
