"","c.0..penalty.","lambda.low.est","lambda.high.est","gamma.low.est","gamma.high.est","P.11.est","P.12.est","P.21.est","P.22.est","MSPE.est","accept"
"Truth",0,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,1
"Model 1",1e-05,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,1
"Model 2",0.11112,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,1
"Model 3",0.22223,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,1
"Model 4",0.33334,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,1
"Model 5",0.44445,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,1
"Model 6",0.55556,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,1
"Model 7",0.66667,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,1
"Model 8",0.77778,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,1
"Model 9",0.88889,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,1
"Model 10",1,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,1
