"","c.0..penalty.","lambda.low.est","lambda.high.est","gamma.low.est","gamma.high.est","P.11.est","P.12.est","P.21.est","P.22.est","MSPE.est","accept"
"Truth",0,0.01,0.08,0.005,0.005,0.995,0.005,0.005,0.995,0,2000
"Model 1",1e-05,0.370614360501675,2.01649390428849,0.0115463080275497,0.0113872493361464,0.991865723988246,0.00813427601175435,0.00806258096563069,0.991937419034369,1.63393101324356,659
"Model 2",0.11112,0.376060762206757,2.03027068373643,0.0323600040823063,0.0328825592520989,0.988047218316351,0.0119527816836493,0.0118058020422305,0.98819419795777,1.6195909003372,458
"Model 3",0.22223,0.368987696963089,2.05233880433326,0.0323816759250105,0.0316115508238392,0.988116865578243,0.0118831344217572,0.0115518259306014,0.988448174069399,1.58404535171663,339
"Model 4",0.33334,0.389291029775884,2.05937385998071,0.0319547873936661,0.0328910234331098,0.988159585507088,0.0118404144929122,0.0118816283065886,0.988118371693411,1.599944463346,466
"Model 5",0.44445,0.351990213096399,2.03914540014261,0.0319904926658295,0.0328391833143218,0.988163960761939,0.0118360392380613,0.0118820652340112,0.988117934765989,1.57913381674149,539
"Model 6",0.55556,0.384724143845648,2.069347055287,0.0313379330514093,0.0334870669863617,0.988105539932576,0.0118944600674241,0.0118559525621212,0.988144047437879,1.58243692171591,442
"Model 7",0.66667,0.378857037378669,2.05613659092821,0.0329471397052035,0.033633600125408,0.988094805372168,0.0119051946278323,0.0119391342139235,0.988060865786077,1.59700758910134,421
"Model 8",0.77778,0.381151076041859,2.05127941207363,0.0325833442854858,0.0338650474178092,0.988051504375228,0.0119484956247722,0.0118743014982235,0.988125698501776,1.59755852806389,411
"Model 9",0.88889,0.374100868203798,2.05182264537194,0.0324799137195929,0.0339060831674685,0.988174696647775,0.0118253033522248,0.0118526530099897,0.98814734699001,1.58995786660158,431
"Model 10",1,0.385029251153782,2.06067987620163,0.0335187536358705,0.0332452324892457,0.988138869568777,0.0118611304312232,0.0118502013269732,0.988149798673027,1.59765759930283,486
