"","c.0..penalty.","lambda.low.est","lambda.high.est","gamma.low.est","gamma.high.est","P.11.est","P.12.est","P.21.est","P.22.est","MSPE.est","accept"
"Truth",0,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,5000
"Model 1",1e-09,0.0104787397879294,0.132886656289259,0.000766966591132724,0.000767374553876794,0.999233549588822,0.000766450411177582,0.000766884181750351,0.99923311581825,0.0607072249964016,2907
"Model 2",1.1112e-05,0.000557419701132752,0.124121041667616,0.14253899877092,0.14430245583783,0.867590484720713,0.132409515279287,0.133918984039535,0.866081015960465,0.0602527214965908,1497
"Model 3",2.2223e-05,0.000567953823317129,0.122937430652021,0.195434779863226,0.199230195612994,0.823411068734935,0.176588931265065,0.179783383977656,0.820216616022344,0.0605371881490011,1478
"Model 4",3.3334e-05,0.000542124263632782,0.122560721652966,0.231560353459684,0.235889176433801,0.794652325284588,0.205347674715412,0.208905965042702,0.791094034957298,0.0607298144109049,1488
"Model 5",4.4445e-05,0.000576140507805609,0.122061113415398,0.260398491428866,0.265435753447492,0.772342844584394,0.227657155415606,0.231656111299827,0.768343888700173,0.0609010226179143,1509
"Model 6",5.5556e-05,0.000569611887510185,0.122527806112295,0.279738898659118,0.285577439053567,0.758123362430172,0.241876637569828,0.246415333076175,0.753584666923825,0.0609954521633527,1473
"Model 7",6.6667e-05,0.000707166769230825,0.121685763872137,0.295619425763281,0.30058323656104,0.746949172486459,0.253050827513541,0.256937644962402,0.743062355037598,0.0611366373562611,1493
"Model 8",7.7778e-05,0.000599647204269752,0.122059045448048,0.316931925927999,0.324380199406363,0.730998934229699,0.269001065770301,0.274682981538663,0.725317018461337,0.0612288719638867,1519
"Model 9",8.8889e-05,0.000697000558770019,0.12223545280135,0.326592406465381,0.334610858988626,0.72471595638312,0.27528404361688,0.281367019856297,0.718632980143703,0.0613019534561799,1522
"Model 10",1e-04,0.000743973460006383,0.1208870581679,0.340321662152224,0.34240619474603,0.715052696944295,0.284947303055705,0.286203922674161,0.713796077325839,0.0614377738230523,1548
