"","c.0..penalty.","lambda.low.est","lambda.high.est","gamma.low.est","gamma.high.est","P.11.est","P.12.est","P.21.est","P.22.est","MSPE.est","accept"
"Truth",0,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,50
"Model 1",1e-09,0.00975488485981992,0.131640409961227,0.00476572161710307,0.00491894251261598,0.99524562758574,0.00475437241426022,0.00490685743473103,0.995093142565269,0.0720441713142025,11
"Model 2",1.1112e-05,0.00994576512799363,0.133167132679943,0.0063876615995575,0.00579180691483634,0.993633332142666,0.00636666785733414,0.00577481380256776,0.994225186197432,0.0720272108809754,31
"Model 3",2.2223e-05,0.0102312956645593,0.132049172107876,0.00609165895633783,0.00700283288519161,0.993927223829473,0.0060727761705268,0.00697782580241907,0.993022174197581,0.0720096953086353,30
"Model 4",3.3334e-05,0.0103332657883288,0.132926076152462,0.00503074632514026,0.00598929626730023,0.994981975307369,0.00501802469263056,0.0059711326791947,0.994028867320805,0.072088948684829,22
"Model 5",4.4445e-05,0.0101279782606776,0.132707139095196,0.00608530360163733,0.00588076604187288,0.993933359116487,0.00606664088351321,0.0058633248314815,0.994136675168519,0.0720388584470718,29
"Model 6",5.5556e-05,0.0103153661284887,0.131720517183219,0.0053227408457698,0.0056263908404842,0.99469148209547,0.00530851790453052,0.00561036031499883,0.994389639685001,0.0720631424147889,25
"Model 7",6.6667e-05,0.00963252323924661,0.132585807156808,0.00623207058829617,0.00559037478050524,0.99378763579452,0.00621236420548032,0.00557469291037181,0.994425307089628,0.0720075285241569,26
"Model 8",7.7778e-05,0.0100311907013156,0.13288632023602,0.0064595959023168,0.00612816042082648,0.993561544441633,0.00643845555836695,0.00610901748373807,0.993890982516262,0.0720274624872045,34
"Model 9",8.8889e-05,0.0100943227491301,0.132731830230867,0.00597534411861551,0.00701360716559008,0.994042884023815,0.00595711597618461,0.00698814707920312,0.993011852920797,0.0720261009597452,37
"Model 10",1e-04,0.010321851097931,0.132010599473518,0.00573326044978494,0.00617204743713384,0.994283496295693,0.00571650370430717,0.00615286169719061,0.993847138302809,0.0720526077974106,28
