"","c.0..penalty.","lambda.low.est","lambda.high.est","gamma.low.est","gamma.high.est","P.11.est","P.12.est","P.21.est","P.22.est","MSPE.est","accept"
"Truth",0,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,5000
"Model 1",1e-09,0.0103949171237584,0.125941720534229,0.000719034818107665,0.000716957672435202,0.99928141682584,0.000718583174160163,0.000716532913554761,0.999283467086445,0.0596014681223057,3034
"Model 2",0.011111112,0.000928041105907521,0.12005195409465,0.586116787954363,0.644874110658935,0.56686257453704,0.43313742546296,0.461079350936788,0.538920649063212,0.0619087136419322,1814
"Model 3",0.022222223,0.000667899533332264,0.113790146745176,0.656189417327155,0.615087938976139,0.528590965456843,0.471409034543157,0.449141641645611,0.550858358354389,0.062014598868165,1829
"Model 4",0.033333334,0.000818665096315247,0.128703807436623,0.537017742092113,0.716146678163791,0.594427320234375,0.405572679765625,0.494483081185856,0.505516918814144,0.0619086430589643,1775
"Model 5",0.044444445,0.000806274168657806,0.118504634216542,0.623460568054673,0.649432356318071,0.546826953209612,0.453173046790388,0.465509885590083,0.534490114409917,0.0619936879982313,1804
"Model 6",0.055555556,0.000707366029097518,0.119580354855431,0.615247884590712,0.652396577007365,0.551948588271893,0.448051411728107,0.466904462269378,0.533095537730622,0.0619489895290335,1781
"Model 7",0.066666667,0.00100613154681029,0.133731320939904,0.51947946655022,0.741785858784472,0.605915430606925,0.394084569393075,0.506534145830871,0.493465854169129,0.0618291708623222,1877
"Model 8",0.077777778,0.00103485417848229,0.133146362122406,0.536289431870397,0.733095429157072,0.597767910035697,0.402232089964303,0.501073746746854,0.498926253253146,0.0618210889240209,1894
"Model 9",0.088888889,0.000891069367601846,0.12405203392874,0.571955169434396,0.679783658684594,0.576157832697644,0.423842167302356,0.476659676469335,0.523340323530665,0.0619336499894634,1853
"Model 10",0.1,0.000927179036107905,0.131702273044586,0.52742597712715,0.734545679368871,0.600552507398256,0.399447492601744,0.504076100860591,0.495923899139409,0.0618638547361585,1787
