"","c.0..penalty.","lambda.low.est","lambda.high.est","gamma.low.est","gamma.high.est","P.11.est","P.12.est","P.21.est","P.22.est","MSPE.est","accept"
"Truth",0,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,10000
"Model 1",1e-05,0.000234104113559667,0.119215093552425,0.140848447372103,0.143179934915026,0.868766378644995,0.131233621355005,0.133284434445252,0.866715565554748,0.0566605092962523,122
"Model 2",0.11112,0.000590731893399564,0.0754935129206401,1.47581923668828,0.248896491964635,0.235821104906998,0.764178895093002,0.2195681534118,0.7804318465882,0.0598871298109005,147
"Model 3",0.22223,0.000712645677266758,0.104848242548575,0.79727548136815,0.584191188338014,0.453556989069037,0.546443010930963,0.440545606401646,0.559454393598354,0.0598909287645503,157
"Model 4",0.33334,0.0195424777875664,0.2299803316026,0.217154816240167,1.55047666290132,0.805091784504055,0.194908215495945,0.781419886199786,0.218580113800214,0.0597694391692737,147
"Model 5",0.44445,0.000566423883500076,0.0995501946771785,0.862364082591393,0.529519801745619,0.425633331667096,0.574366668332904,0.409356661977332,0.590643338022668,0.0598756937893064,122
"Model 6",0.55556,0.00058550408276746,0.106528545614489,0.775089276694689,0.60123314837696,0.462994979684209,0.537005020315791,0.450371982542201,0.549628017457799,0.0598907813258324,122
"Model 7",0.66667,0.00061959788399671,0.0961753198709971,0.906095242409119,0.491604492901698,0.40765570234203,0.59234429765797,0.386964821820633,0.613035178179367,0.0598595457058819,120
"Model 8",0.77778,0.00106597509658213,0.123024939038398,0.621938028894581,0.742242923211092,0.53879997986829,0.46120002013171,0.52124947725518,0.47875052274482,0.0598579936386567,110
"Model 9",0.88889,0.000466375705530743,0.0777493961723093,1.37280757499399,0.280662877554316,0.259128593565794,0.740871406434205,0.244233677931819,0.755766322068181,0.0598884998710744,145
"Model 10",1,0.0215412387704946,0.241292783804049,0.201394919758807,1.6505535888155,0.818539838421122,0.181460161578878,0.797621170021275,0.202378829978725,0.059803503772395,153
