"","compare","st_rate_low_est","st_rate_high_est","sw_rate_low_est","sw_rate_high_est","tpm_11_est","tpm_12_est","tpm_21_est","tpm_22_est","MSPE_est","accept"
"1",9.35762296884017e-14,0.0158415972080566,0.0302595621770791,0.005,0.005,0.995024937604037,0.00497506239596341,0.00497506239596341,0.995024937604037,0.0233530195971088,0
"2",2.54366564737692e-13,0.0165970341646655,0.0311721329134276,0.005,0.005,0.995024937604037,0.00497506239596341,0.00497506239596341,0.995024937604037,0.0233730043003578,0
"3",6.9144001069402e-13,0.0164913682558531,0.0308935719215284,0.00496401534149667,0.005035577959498,0.995060565620353,0.00493943437964734,0.0050102840909668,0.994989715909033,0.0233553015040065,1
"4",1.87952881653908e-12,0.0149181122590751,0.0302977568641683,0.00495601889344031,0.00504267926580544,0.995068486286378,0.00493151371362201,0.00501731107921154,0.994982688920788,0.0233395237341409,4
"5",5.10908902806333e-12,0.0151116292129092,0.0317625538165617,0.00510332460704146,0.00489143710716762,0.994922657660965,0.00507734233903534,0.00486756430849744,0.995132435691503,0.023314480324513,10
"6",1.3887943864964e-11,0.0159762569765097,0.0311299400257834,0.00472797556924132,0.00524298792877845,0.995294360205903,0.00470563979409678,0.00521554309033129,0.994784456909669,0.0233491348913665,17
"7",3.7751345442791e-11,0.0158066322340661,0.0316218220942677,0.00457254926811523,0.005297322271178,0.995448379861253,0.00455162013874714,0.0052693004461368,0.994730699553863,0.0233340623932427,64
"8",1.02618796317019e-10,0.0177048783407531,0.0302602111983653,0.00447588995655615,0.00464373032528016,0.995544413717858,0.00445558628214237,0.00462212299109482,0.995377877008905,0.0233822474979866,228
"9",2.78946809286892e-10,0.0161210054836575,0.031067862226859,0.0015960037093187,0.00156683236801143,0.998408258078899,0.00159174192110102,0.00156277644086186,0.998437223559138,0.0233449640271645,1607
"10",7.58256042791191e-10,0.0158358578357037,0.0312401871646169,0.00166641760665019,0.00165967375286149,0.99833658847595,0.0016634115240501,0.00165670630492338,0.998343293695077,0.0233392603784911,1645
"11",2.06115362243856e-09,0.0150857321234019,0.0327804395881135,0.00247950455701649,0.00247917737613209,0.997526686272045,0.00247331372795482,0.0024729980806686,0.997527001919331,0.0233045151760185,1743
"12",5.60279643753727e-09,0.0152347268760049,0.030904215244195,0.00413062963992621,0.00413437826106587,0.99588642829917,0.00411357170082956,0.0041172883200613,0.995882711679939,0.0233338794721802,1679
"13",1.52299797447126e-08,0.0154350989201819,0.0306395011817006,0.00688634355898059,0.0068857155040765,0.993161036937852,0.00683896306214801,0.00683834046045577,0.993161659539544,0.0233387671725158,1686
"14",4.13993771878517e-08,0.014663444193992,0.0307420208550269,0.0108713078742185,0.0108611103970849,0.989246706890682,0.0107532931093177,0.0107432534978771,0.989256746502123,0.0233095665830717,1747
"15",1.12535174719259e-07,0.0148502336930073,0.0304329918622188,0.0182067293722139,0.0182579315714798,0.982125906728603,0.0178740932713973,0.0179243967854346,0.982075603214565,0.0233190308629183,1769
"16",3.05902320501826e-07,0.0161258489768113,0.030467394832999,0.030533548777012,0.0304395733477303,0.970400568555057,0.0295994314449434,0.0295079530959269,0.970492046904073,0.0233540645510039,1745
