"","compare","st_rate_low_est","st_rate_high_est","sw_rate_low_est","sw_rate_high_est","tpm_11_est","tpm_12_est","tpm_21_est","tpm_22_est","MSPE_est","accept"
"1",1.3887943864964e-11,0.0105669952860785,0.0213391534829576,0.00496462146561623,0.00492476889094593,0.995059981427975,0.004940018572025,0.00490055328418851,0.995099446715812,0.0182102741245379,183
"2",3.7751345442791e-11,0.0111672599699073,0.0226359979265699,0.00491393883778296,0.00484246870236561,0.995110151510478,0.00488984848952246,0.00481906733121816,0.995180932668782,0.0182137742611968,178
"3",1.02618796317019e-10,0.0104989870296713,0.0218802336641718,0.00459892207813588,0.00461339237584315,0.995422409423847,0.00457759057615306,0.00459200558377678,0.995407994416223,0.0182076103342258,187
"4",2.78946809286892e-10,0.0109330794289728,0.02199367371764,0.00379471785260872,0.00357332755591938,0.996220282035788,0.00377971796421211,0.00356009820147628,0.996439901798524,0.0182059214512098,300
"5",7.58256042791191e-10,0.0102590036981278,0.0213920253137625,0.00195245627991507,0.00197031831144425,0.998052344518326,0.00194765548167366,0.00196543588047216,0.998034564119528,0.0182075147869873,206
"6",2.06115362243856e-09,0.0107750029085429,0.020966521134964,0.00265817371051663,0.00268120117094383,0.997349114575901,0.00265088542409905,0.0026737847609396,0.99732621523906,0.0182132844808891,248
"7",5.60279643753727e-09,0.01059884235268,0.0215815526319469,0.00446396142708118,0.0044600172759553,0.995555950187647,0.00444404981235292,0.00444014709302019,0.99555985290698,0.0182017470456126,655
"8",1.52299797447126e-08,0.0101616217735946,0.021907508481473,0.00654821099094955,0.00658493278474741,0.993494759757854,0.00650524024214593,0.00654144767042901,0.993458552329571,0.0181929134376501,404
"9",4.13993771878517e-08,0.0109659088177014,0.0219316134138982,0.0108916532432994,0.0113900109370497,0.98923067193051,0.0107693280694904,0.0112589124887947,0.988741087511205,0.0182088251771918,257
"10",1.12535174719259e-07,0.00984522767207201,0.0211741535701677,0.0159206947083402,0.0181720037407873,0.984355197080727,0.0156448029192728,0.0178347741261826,0.982165225873817,0.0181893600706814,228
"11",3.05902320501826e-07,0.0099864219244421,0.0214579193623733,0.0292272446436498,0.0297638027176141,0.971654592869,0.0283454071310002,0.0288499622813888,0.971150037718611,0.0181984689911687,255
