Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,,,,,,,,,,,,,,,,
1,754,605,1496,1504,,,,,,,,,,,,,,,,,,,,,
1,419,4,1517,1532,,,,,,,,,,,,,,,,,,,,,
1,4,419,1517,1532,,,,,,,,,,,,,,,,,,,,,
1,819,722,1556,1565,,,,,,,,,,,,,,,,,,,,,
1,722,819,1556,1565,,,,,,,,,,,,,,,,,,,,,
1,819,722,1574,1607,,,,,,,,,,,,,,,,,,,,,
1,722,819,1574,1607,,,,,,,,,,,,,,,,,,,,,
1,424,626,1575,1580,,,,,,,,,,,,,,,,,,,,,
1,626,424,1575,1580,,,,,,,,,,,,,,,,,,,,,
1,666,532,1576,1593,,,,,,,,,,,,,,,,,,,,,
1,532,666,1576,1593,,,,,,,,,,,,,,,,,,,,,
1,424,626,1582,1609,,,,,,,,,,,,,,,,,,,,,
1,626,424,1582,1609,,,,,,,,,,,,,,,,,,,,,
1,819,722,1614,1633,,,,,,,,,,,,,,,,,,,,,
1,722,819,1614,1633,,,,,,,,,,,,,,,,,,,,,
1,819,424,1639,1657,,,,,,,,,,,,,,,,,,,,,
1,424,819,1639,1657,,,,,,,,,,,,,,,,,,,,,
1,495,532,1649,1658,,,,,,,,,,,,,,,,,,,,,
1,532,495,1649,1658,,,,,,,,,,,,,,,,,,,,,
1,453,755,1656,1670,,,,,,,,,,,,,,,,,,,,,
1,755,453,1656,1670,,,,,,,,,,,,,,,,,,,,,
1,819,36,1673,1680,,,,,,,,,,,,,,,,,,,,,
1,36,819,1673,1680,,,,,,,,,,,,,,,,,,,,,
1,33,532,1673,1695,,,,,,,,,,,,,,,,,,,,,
1,532,33,1673,1695,,,,,,,,,,,,,,,,,,,,,
1,819,36,1690,1736,,,,,,,,,,,,,,,,,,,,,
1,36,819,1690,1736,,,,,,,,,,,,,,,,,,,,,
1,33,532,1701,1723,,,,,,,,,,,,,,,,,,,,,
1,532,33,1701,1723,,,,,,,,,,,,,,,,,,,,,
1,722,4,1702,1718,,,,,,,,,,,,,,,,,,,,,
1,4,722,1702,1718,,,,,,,,,,,,,,,,,,,,,
1,424,626,1710,1753,,,,,,,,,,,,,,,,,,,,,
1,626,424,1710,1753,,,,,,,,,,,,,,,,,,,,,
1,657,754,1712,1739,,,,,,,,,,,,,,,,,,,,,
