Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,,,,,,,,,,,,,
1,539,14,3168,3308,,,,,,,,,,,,,,,,,,
1,36,448,3221,3248,,,,,,,,,,,,,,,,,,
1,448,36,3221,3248,,,,,,,,,,,,,,,,,,
1,36,448,3249,3282,,,,,,,,,,,,,,,,,,
1,448,36,3249,3282,,,,,,,,,,,,,,,,,,
1,560,636,3347,3360,,,,,,,,,,,,,,,,,,
1,636,560,3347,3360,,,,,,,,,,,,,,,,,,
1,11,539,3393,3407,,,,,,,,,,,,,,,,,,
1,539,11,3393,3407,,,,,,,,,,,,,,,,,,
1,4,823,3435,3458,,,,,,,,,,,,,,,,,,
1,823,4,3435,3458,,,,,,,,,,,,,,,,,,
1,4,823,3473,3479,,,,,,,,,,,,,,,,,,
1,823,4,3473,3479,,,,,,,,,,,,,,,,,,
1,448,539,3500,3509,,,,,,,,,,,,,,,,,,
1,539,448,3500,3509,,,,,,,,,,,,,,,,,,
1,495,636,3510,3632,,,,,,,,,,,,,,,,,,
1,636,495,3510,3632,,,,,,,,,,,,,,,,,,
1,4,448,3583,3619,,,,,,,,,,,,,,,,,,
1,448,4,3583,3619,,,,,,,,,,,,,,,,,,
1,14,560,3619,3627,,,,,,,,,,,,,,,,,,
1,560,14,3619,3627,,,,,,,,,,,,,,,,,,
1,14,560,3637,3639,,,,,,,,,,,,,,,,,,
1,560,14,3637,3639,,,,,,,,,,,,,,,,,,
1,14,560,3644,3649,,,,,,,,,,,,,,,,,,
1,560,14,3644,3649,,,,,,,,,,,,,,,,,,
1,14,560,4554,4561,,,,,,,,,,,,,,,,,,
1,560,14,4554,4561,,,,,,,,,,,,,,,,,,
1,560,449,4600,4614,,,,,,,,,,,,,,,,,,
1,449,560,4600,4614,,,,,,,,,,,,,,,,,,
1,32,560,4639,4647,,,,,,,,,,,,,,,,,,
1,560,32,4639,4647,,,,,,,,,,,,,,,,,,
1,630,823,4654,4664,,,,,,,,,,,,,,,,,,
1,823,630,4654,4664,,,,,,,,,,,,,,,,,,
1,560,449,4663,4752,,,,,,,,,,,,,,,,,,
1,449,560,4663,4752,,,,,,,,,,,,,,,,,,
1,32,448,4693,4696,,,,,,,,,,,,,,,,,,
1,448,32,4693,4696,,,,,,,,,,,,,,,,,,
1,32,448,4700,4715,,,,,,,,,,,,,,,,,,
1,448,32,4700,4715,,,,,,,,,,,,,,,,,,
1,32,666,4790,4905,,,,,,,,,,,,,,,,,,
1,666,32,4790,4905,,,,,,,,,,,,,,,,,,
1,397,q,5010,5015,,,,,,,,,,,,,,,,,,
1,q,397,5010,5015,,,,,,,,,,,,,,,,,,
1,32,666,5081,5124,,,,,,,,,,,,,,,,,,
1,666,32,5081,5124,,,,,,,,,,,,,,,,,,
1,32,666,5125,5129,,,,,,,,,,,,,,,,,,
1,666,32,5125,5129,,,,,,,,,,,,,,,,,,
1,32,666,5204,5267,,,,,,,,,,,,,,,,,,
1,666,32,5204,5267,,,,,,,,,,,,,,,,,,
1,630,823,5584,5593,,,,,,,,,,,,,,,,,,
1,823,630,5584,5593,,,,,,,,,,,,,,,,,,
1,754,448,5565,5577,,,,,,,,,,,,,,,,,,
1,448,754,5565,5577,,,,,,,,,,,,,,,,,,
1,666,32,5426,5486,,,,,,,,,,,,,,,,,,
1,32,666,5426,5486,,,,,,,,,,,,,,,,,,
