Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,
1,699,539,6587,6600,,,,,,
1,539,699,6587,6600,,,,,,
1,763,353,6588,6613,,,,,,
1,353,763,6588,6613,,,,,,
1,331,532,6690,6698,,,,,,
1,532,331,6690,6698,,,,,,
1,43,298,6702,6748,,,,,,
1,298,43,6702,6748,,,,,,
1,265,764,6725,6897,,,,,,
1,764,265,6725,6897,,,,,,
1,194,532,6731,6745,,,,,,
1,532,194,6731,6745,,,,,,
1,43,797,6777,6783,,,,,,
1,797,43,6777,6783,,,,,,
1,269,532,6783,6796,,,,,,
1,532,269,6783,6796,,,,,,
1,448,194,6783,6943,,,,,,
1,194,448,6783,6943,,,,,,
1,43,797,6790,7108,,,,,,
1,797,43,6790,7108,,,,,,
1,265,764,6909,6932,,,,,,
1,764,265,6909,6932,,,,,,
1,43,797,7112,7159,,,,,,
1,797,43,7112,7159,,,,,,
1,43,797,7215,7297,,,,,,
1,797,43,7215,7297,,,,,,
1,43,797,7378,7532,,,,,,
1,797,43,7378,7532,,,,,,
1,637,295,7432,7455,,,,,,
1,295,637,7432,7455,,,,,,
1,334,797,7575,7606,,,,,,
1,797,334,7575,7606,,,,,,
1,702,46,7581,7596,,,,,,
1,46,702,7581,7596,,,,,,
1,46,600,7607,7625,,,,,,
1,600,46,7607,7625,,,,,,
1,600,702,7669,7679,,,,,,
1,702,600,7669,7679,,,,,,
1,46,600,7689,7897,,,,,,
1,600,46,7689,7897,,,,,,
1,702,298,7724,8036,,,,,,
1,298,702,7724,8036,,,,,,
1,46,600,7980,7988,,,,,,
1,600,46,7980,7988,,,,,,
1,702,298,8057,8060,,,,,,
1,298,702,8057,8060,,,,,,
1,702,298,8076,8119,,,,,,
1,298,702,8076,8119,,,,,,
1,46,600,8149,8302,,,,,,
1,600,46,8149,8302,,,,,,
1,46,600,8369,8377,,,,,,
1,600,46,8369,8377,,,,,,
1,46,600,8379,8382,,,,,,
1,600,46,8379,8382,,,,,,
1,46,702,8630,8640,,,,,,
1,702,46,8630,8640,,,,,,
1,43,298,8630,8680,,,,,,
1,298,43,8630,8680,,,,,,
1,702,797,8679,8841,,,,,,
1,797,702,8679,8841,,,,,,
1,532,43,8694,8697,,,,,,
1,43,532,8694,8697,,,,,,
1,161,448,8830,8838,,,,,,
1,448,161,8830,8838,,,,,,
1,265,637,8867,8875,,,,,,
1,637,265,8867,8875,,,,,,
1,175,331,8879,9201,,,,,,
1,331,175,8879,9201,,,,,,
1,265,727,8887,8917,,,,,,
1,727,265,8887,8917,,,,,,
1,539,353,8887,9020,,,,,,
1,353,539,8887,9020,,,,,,
1,174,295,8898,9259,,,,,,
1,295,174,8898,9259,,,,,,
1,43,637,8903,8985,,,,,,
1,637,43,8903,8985,,,,,,
1,46,67,8908,9062,,,,,,
1,67,46,8908,9062,,,,,,
1,291,764,8917,9130,,,,,,
1,764,291,8917,9130,,,,,,
1,43,637,8998,9009,,,,,,
1,637,43,8998,9009,,,,,,
1,353,539,9039,9305,,,,,,
1,539,353,9039,9305,,,,,,
